,name,group
0,Myriel,10
1,Napoleon,1
2,Mlle.Baptistine,3
3,Mme.Magloire,3
4,CountessdeLo,1
5,Geborand,1
6,Champtercier,1
7,Cravatte,1
8,Count,1
9,OldMan,1
10,Labarre,1
11,Valjean,36
12,Marguerite,2
13,Mme.deR,1
14,Isabeau,1
15,Gervais,1
16,Tholomyes,9
17,Listolier,7
18,Fameuil,7
19,Blacheville,7
20,Favourite,7
21,Dahlia,7
22,Zephine,7
23,Fantine,15
24,Mme.Thenardier,11
25,Thenardier,16
26,Cosette,11
27,Javert,17
28,Fauchelevent,4
29,Bamatabois,8
30,Perpetue,2
31,Simplice,4
32,Scaufflaire,1
33,Woman1,2
34,Judge,6
35,Champmathieu,6
36,Brevet,6
37,Chenildieu,6
38,Cochepaille,6
39,Pontmercy,3
40,Boulatruelle,1
41,Eponine,11
42,Anzelma,3
43,Woman2,3
44,MotherInnocent,2
45,Gribier,1
46,Jondrette,1
47,Mme.Burgon,2
48,Gavroche,22
49,Gillenormand,7
50,Magnon,2
51,Mlle.Gillenormand,7
52,Mme.Pontmercy,2
53,Mlle.Vaubois,1
54,Lt.Gillenormand,4
55,Marius,19
56,BaronessT,2
57,Mabeuf,11
58,Enjolras,15
59,Combeferre,11
60,Prouvaire,9
61,Feuilly,11
62,Courfeyrac,13
63,Bahorel,12
64,Bossuet,13
65,Joly,12
66,Grantaire,10
67,MotherPlutarch,1
68,Gueulemer,10
69,Babet,10
70,Claquesous,10
71,Montparnasse,9
72,Toussaint,3
73,Child1,2
74,Child2,2
75,Brujon,7
76,Mme.Hucheloup,7
